id,name,portion_g,energy_kcal,protein_g,fat_g,carbs_g,fiber_g,calcium_mg,iron_mg,sodium_mg,defaultUnit,units,unitConversions,nutritionPer100g,category,source_pdf,page,notes
biscoito_doce_wafer_recheado_de_morango,"Biscoito, doce, wafer, recheado de morango",100,513.0,4.5,26.4,67.4,0.8,14.0,1.1,120.0,100g,"[""100g"", ""gramas"", ""g"", ""unidade"", ""unidade pequena"", ""unidade média"", ""unidade grande"", ""fatia"", ""rodela"", ""xícara"", ""colher de sopa"", ""kg""]","{""100g"": 100, ""gramas"": 1, ""g"": 1, ""unidade"": 150, ""unidade pequena"": 100, ""unidade média"": 150, ""unidade grande"": 200, ""fatia"": 50, ""rodela"": 30, ""xícara"": 120, ""colher de sopa"": 15, ""kg"": 1000}","{""calories"": 513.0, ""energy_kj"": 2148.0, ""protein"": 4.5, ""fat"": 26.4, ""carbs"": 67.4, ""fiber"": 0.8, ""cholesterol"": 1.0, ""moisture"": 1.2, ""ash"": 0.6, ""calcium"": 14.0, ""magnesium"": 19.0, ""manganese"": 0.28, ""phosphorus"": 73.0, ""iron"": 1.1, ""sodium"": 120.0, ""potassium"": 75.0, ""copper"": 0.08, ""zinc"": 0.5, ""thiamine"": 0.36, ""pyridoxine"": 0.94, ""niacin"": 0.37}",Frutas,#1food-moz.pdf,1,Entry 12 from source table
biscoito_salgado_cream_cracker,"Biscoito, salgado, cream cracker",100,432.0,10.1,14.4,68.7,2.5,20.0,2.2,854.0,100g,"[""100g"", ""gramas"", ""g"", ""unidade"", ""fatia"", ""fatia fina"", ""fatia grossa"", ""pão francês"", ""pãozinho"", ""xícara"", ""kg""]","{""100g"": 100, ""gramas"": 1, ""g"": 1, ""unidade"": 50, ""fatia"": 25, ""fatia fina"": 20, ""fatia grossa"": 35, ""pão francês"": 50, ""pãozinho"": 50, ""xícara"": 100, ""kg"": 1000}","{""calories"": 432.0, ""energy_kj"": 1806.0, ""protein"": 10.1, ""fat"": 14.4, ""carbs"": 68.7, ""fiber"": 2.5, ""moisture"": 4.1, ""ash"": 2.7, ""calcium"": 20.0, ""magnesium"": 40.0, ""manganese"": 0.69, ""phosphorus"": 148.0, ""iron"": 2.2, ""sodium"": 854.0, ""potassium"": 181.0, ""copper"": 0.18, ""zinc"": 1.1, ""thiamine"": 0.71, ""riboflavin"": 0.13, ""pyridoxine"": 0.17, ""niacin"": 7.14}",Pães,#1food-moz.pdf,1,Entry 13 from source table
bolo_mistura_para,"Bolo, mistura para",100,419.0,6.2,6.1,84.7,1.7,59.0,1.2,463.0,100g,"[""100g"", ""gramas"", ""g"", ""unidade"", ""porção"", ""colher de sopa"", ""colher de chá"", ""xícara"", ""kg""]","{""100g"": 100, ""gramas"": 1, ""g"": 1, ""unidade"": 100, ""porção"": 150, ""colher de sopa"": 15, ""colher de chá"": 5, ""xícara"": 150, ""kg"": 1000}","{""calories"": 419.0, ""energy_kj"": 1752.0, ""protein"": 6.2, ""fat"": 6.1, ""carbs"": 84.7, ""fiber"": 1.7, ""moisture"": 1.0, ""ash"": 2.0, ""calcium"": 59.0, ""magnesium"": 28.0, ""manganese"": 0.46, ""phosphorus"": 333.0, ""iron"": 1.2, ""sodium"": 463.0, ""potassium"": 75.0, ""copper"": 0.15, ""zinc"": 0.6, ""thiamine"": 0.18, ""pyridoxine"": 1.5, ""niacin"": 1.52}",Alimentos,#1food-moz.pdf,1,Entry 14 from source table
bolo_pronto_aipim,"Bolo, pronto, aipim",100,324.0,4.4,12.7,47.9,0.7,85.0,0.5,111.0,100g,"[""100g"", ""gramas"", ""g"", ""unidade"", ""porção"", ""colher de sopa"", ""colher de chá"", ""xícara"", ""kg""]","{""100g"": 100, ""gramas"": 1, ""g"": 1, ""unidade"": 100, ""porção"": 150, ""colher de sopa"": 15, ""colher de chá"": 5, ""xícara"": 150, ""kg"": 1000}","{""calories"": 324.0, ""energy_kj"": 1355.0, ""protein"": 4.4, ""fat"": 12.7, ""carbs"": 47.9, ""fiber"": 0.7, ""cholesterol"": 73.0, ""moisture"": 34.1, ""ash"": 0.8, ""calcium"": 85.0, ""magnesium"": 10.0, ""manganese"": 0.11, ""phosphorus"": 122.0, ""iron"": 0.5, ""sodium"": 111.0, ""potassium"": 135.0, ""copper"": 0.05, ""zinc"": 0.4, ""thiamine"": 0.13, ""riboflavin"": 0.07}",Alimentos,#1food-moz.pdf,1,Entry 15 from source table
bolo_pronto_chocolate,"Bolo, pronto, chocolate",100,410.0,6.2,18.5,54.7,1.4,75.0,2.1,283.0,100g,"[""100g"", ""gramas"", ""g"", ""unidade"", ""porção"", ""colher de sopa"", ""colher de chá"", ""xícara"", ""kg""]","{""100g"": 100, ""gramas"": 1, ""g"": 1, ""unidade"": 100, ""porção"": 150, ""colher de sopa"": 15, ""colher de chá"": 5, ""xícara"": 150, ""kg"": 1000}","{""calories"": 410.0, ""energy_kj"": 1715.0, ""protein"": 6.2, ""fat"": 18.5, ""carbs"": 54.7, ""fiber"": 1.4, ""cholesterol"": 77.0, ""moisture"": 19.3, ""ash"": 1.3, ""calcium"": 75.0, ""magnesium"": 28.0, ""manganese"": 0.38, ""phosphorus"": 197.0, ""iron"": 2.1, ""sodium"": 283.0, ""potassium"": 212.0, ""copper"": 0.05, ""zinc"": 0.7, ""thiamine"": 0.13, ""riboflavin"": 0.09, ""pyridoxine"": 0.05}",Alimentos,#1food-moz.pdf,1,Entry 16 from source table
bolo_pronto_coco,"Bolo, pronto, coco",100,333.0,5.7,11.3,52.3,1.1,57.0,0.8,190.0,100g,"[""100g"", ""gramas"", ""g"", ""unidade"", ""porção"", ""colher de sopa"", ""colher de chá"", ""xícara"", ""kg""]","{""100g"": 100, ""gramas"": 1, ""g"": 1, ""unidade"": 100, ""porção"": 150, ""colher de sopa"": 15, ""colher de chá"": 5, ""xícara"": 150, ""kg"": 1000}","{""calories"": 333.0, ""energy_kj"": 1395.0, ""protein"": 5.7, ""fat"": 11.3, ""carbs"": 52.3, ""fiber"": 1.1, ""cholesterol"": 63.0, ""moisture"": 29.3, ""ash"": 1.4, ""calcium"": 57.0, ""magnesium"": 16.0, ""manganese"": 0.4, ""phosphorus"": 303.0, ""iron"": 0.8, ""sodium"": 190.0, ""potassium"": 143.0, ""copper"": 0.09, ""zinc"": 0.7, ""thiamine"": 0.15, ""riboflavin"": 0.06}",Alimentos,#1food-moz.pdf,1,Entry 17 from source table
bolo_pronto_milho,"Bolo, pronto, milho",100,311.0,4.8,12.4,45.1,0.7,83.0,0.7,134.0,100g,"[""100g"", ""gramas"", ""g"", ""xícara"", ""xícara de chá"", ""colher de sopa"", ""colher de chá"", ""kg""]","{""100g"": 100, ""gramas"": 1, ""g"": 1, ""xícara"": 200, ""xícara de chá"": 200, ""colher de sopa"": 15, ""colher de chá"": 5, ""kg"": 1000}","{""calories"": 311.0, ""energy_kj"": 1303.0, ""protein"": 4.8, ""fat"": 12.4, ""carbs"": 45.1, ""fiber"": 0.7, ""cholesterol"": 82.0, ""moisture"": 36.7, ""ash"": 1.0, ""calcium"": 83.0, ""magnesium"": 10.0, ""manganese"": 0.11, ""phosphorus"": 128.0, ""iron"": 0.7, ""sodium"": 134.0, ""potassium"": 118.0, ""copper"": 0.04, ""zinc"": 0.4, ""retinol"": 57.0, ""thiamine"": 0.11, ""riboflavin"": 0.05}",Cereais,#1food-moz.pdf,1,Entry 18 from source table
canjica_branca_crua,"Canjica, branca, crua",100,358.0,7.2,1.0,78.1,5.5,2.0,0.3,1.0,100g,"[""100g"", ""gramas"", ""g"", ""unidade"", ""porção"", ""colher de sopa"", ""colher de chá"", ""xícara"", ""kg""]","{""100g"": 100, ""gramas"": 1, ""g"": 1, ""unidade"": 100, ""porção"": 150, ""colher de sopa"": 15, ""colher de chá"": 5, ""xícara"": 150, ""kg"": 1000}","{""calories"": 358.0, ""energy_kj"": 1496.0, ""protein"": 7.2, ""fat"": 1.0, ""carbs"": 78.1, ""fiber"": 5.5, ""moisture"": 13.6, ""ash"": 0.2, ""calcium"": 2.0, ""magnesium"": 12.0, ""manganese"": 0.09, ""phosphorus"": 48.0, ""iron"": 0.3, ""sodium"": 1.0, ""potassium"": 93.0, ""copper"": 0.05, ""zinc"": 0.4}",Alimentos,#1food-moz.pdf,1,Entry 19 from source table
canjica_com_leite_integral,"Canjica, com leite integral",100,112.0,2.4,1.2,23.6,1.2,43.0,0.1,28.0,100g,"[""100g"", ""gramas"", ""g"", ""ml"", ""litro"", ""copo"", ""xícara"", ""colher de sopa"", ""colher de chá"", ""fatia""]","{""100g"": 100, ""gramas"": 1, ""g"": 1, ""ml"": 1.03, ""litro"": 1030, ""copo"": 240, ""xícara"": 240, ""colher de sopa"": 15, ""colher de chá"": 5, ""fatia"": 20}","{""calories"": 112.0, ""energy_kj"": 471.0, ""protein"": 2.4, ""fat"": 1.2, ""carbs"": 23.6, ""fiber"": 1.2, ""cholesterol"": 1.0, ""moisture"": 72.5, ""ash"": 0.3, ""calcium"": 43.0, ""magnesium"": 6.0, ""manganese"": 0.02, ""phosphorus"": 41.0, ""iron"": 0.1, ""sodium"": 28.0, ""potassium"": 70.0, ""copper"": 0.03, ""zinc"": 0.3, ""riboflavin"": 0.04}",Laticínios,#1food-moz.pdf,1,Entry 20 from source table
cereais_milho_flocos_com_sal,"Cereais, milho, flocos, com sal",100,370.0,7.3,1.6,80.8,5.3,2.0,0.5,272.0,100g,"[""100g"", ""gramas"", ""g"", ""xícara"", ""xícara de chá"", ""colher de sopa"", ""colher de chá"", ""kg""]","{""100g"": 100, ""gramas"": 1, ""g"": 1, ""xícara"": 200, ""xícara de chá"": 200, ""colher de sopa"": 15, ""colher de chá"": 5, ""kg"": 1000}","{""calories"": 370.0, ""energy_kj"": 1546.0, ""protein"": 7.3, ""fat"": 1.6, ""carbs"": 80.8, ""fiber"": 5.3, ""moisture"": 9.3, ""ash"": 1.0, ""calcium"": 2.0, ""magnesium"": 20.0, ""phosphorus"": 91.0, ""iron"": 0.5, ""sodium"": 272.0, ""potassium"": 69.0, ""zinc"": 0.6, ""thiamine"": 0.12, ""pyridoxine"": 0.06}",Cereais,#1food-moz.pdf,1,Entry 21 from source table
cereais_milho_flocos_sem_sal,"Cereais, milho, flocos, sem sal",100,363.0,6.9,1.2,80.4,1.8,2.0,1.7,31.0,100g,"[""100g"", ""gramas"", ""g"", ""xícara"", ""xícara de chá"", ""colher de sopa"", ""colher de chá"", ""kg""]","{""100g"": 100, ""gramas"": 1, ""g"": 1, ""xícara"": 200, ""xícara de chá"": 200, ""colher de sopa"": 15, ""colher de chá"": 5, ""kg"": 1000}","{""calories"": 363.0, ""energy_kj"": 1520.0, ""protein"": 6.9, ""fat"": 1.2, ""carbs"": 80.4, ""fiber"": 1.8, ""moisture"": 11.2, ""ash"": 0.3, ""calcium"": 2.0, ""magnesium"": 17.0, ""phosphorus"": 58.0, ""iron"": 1.7, ""sodium"": 31.0, ""potassium"": 29.0, ""copper"": 0.24, ""zinc"": 0.3, ""thiamine"": 0.05, ""pyridoxine"": 0.04}",Cereais,#1food-moz.pdf,1,Entry 22 from source table
cereais_mingau_milho_infantil,"Cereais, mingau, milho, infantil",100,394.0,6.4,1.1,87.3,3.2,219.0,3.0,399.0,100g,"[""100g"", ""gramas"", ""g"", ""xícara"", ""xícara de chá"", ""colher de sopa"", ""colher de chá"", ""kg""]","{""100g"": 100, ""gramas"": 1, ""g"": 1, ""xícara"": 200, ""xícara de chá"": 200, ""colher de sopa"": 15, ""colher de chá"": 5, ""kg"": 1000}","{""calories"": 394.0, ""energy_kj"": 1650.0, ""protein"": 6.4, ""fat"": 1.1, ""carbs"": 87.3, ""fiber"": 3.2, ""moisture"": 4.7, ""ash"": 0.5, ""calcium"": 219.0, ""magnesium"": 16.0, ""manganese"": 0.11, ""phosphorus"": 169.0, ""iron"": 3.0, ""sodium"": 399.0, ""potassium"": 82.0, ""copper"": 0.04, ""zinc"": 0.4, ""retinol"": 21.0, ""thiamine"": 3.72, ""riboflavin"": 0.47, ""pyridoxine"": 5.08, ""niacin"": 24.16, ""vitamin_c"": 109.4}",Cereais,#1food-moz.pdf,1,Entry 23 from source table
cereais_mistura_para_vitamina_trigo_cevada_e_aveia,"Cereais, mistura para vitamina, trigo, cevada e aveia",100,381.0,8.9,2.1,81.6,5.0,584.0,12.6,1163.0,100g,"[""100g"", ""gramas"", ""g"", ""xícara"", ""xícara de chá"", ""colher de sopa"", ""colher de chá"", ""kg""]","{""100g"": 100, ""gramas"": 1, ""g"": 1, ""xícara"": 200, ""xícara de chá"": 200, ""colher de sopa"": 15, ""colher de chá"": 5, ""kg"": 1000}","{""calories"": 381.0, ""energy_kj"": 1595.0, ""protein"": 8.9, ""fat"": 2.1, ""carbs"": 81.6, ""fiber"": 5.0, ""moisture"": 4.4, ""ash"": 3.0, ""calcium"": 584.0, ""magnesium"": 72.0, ""manganese"": 2.28, ""phosphorus"": 515.0, ""iron"": 12.6, ""sodium"": 1163.0, ""potassium"": 244.0, ""copper"": 0.21, ""zinc"": 2.0, ""thiamine"": 0.76, ""riboflavin"": 0.88, ""pyridoxine"": 1.49, ""niacin"": 7.46, ""vitamin_c"": 13.1}",Cereais,#1food-moz.pdf,1,Entry 24 from source table
cereal_matinal_milho,"Cereal matinal, milho",100,365.0,7.2,1.0,83.8,4.1,143.0,3.1,655.0,100g,"[""100g"", ""gramas"", ""g"", ""xícara"", ""xícara de chá"", ""colher de sopa"", ""colher de chá"", ""kg""]","{""100g"": 100, ""gramas"": 1, ""g"": 1, ""xícara"": 200, ""xícara de chá"": 200, ""colher de sopa"": 15, ""colher de chá"": 5, ""kg"": 1000}","{""calories"": 365.0, ""energy_kj"": 1529.0, ""protein"": 7.2, ""fat"": 1.0, ""carbs"": 83.8, ""fiber"": 4.1, ""moisture"": 5.5, ""ash"": 2.5, ""calcium"": 143.0, ""magnesium"": 11.0, ""manganese"": 0.06, ""phosphorus"": 101.0, ""iron"": 3.1, ""sodium"": 655.0, ""potassium"": 83.0, ""copper"": 0.06, ""zinc"": 7.6, ""re"": 31.0, ""rae"": 15.0, ""thiamine"": 0.76, ""riboflavin"": 1.02, ""pyridoxine"": 2.25, ""niacin"": 11.04, ""vitamin_c"": 17.3}",Cereais,#1food-moz.pdf,1,Entry 25 from source table
cereal_matinal_milho_açúcar,"Cereal matinal, milho, açúcar",100,377.0,4.7,0.7,88.8,2.1,56.0,3.9,405.0,100g,"[""100g"", ""gramas"", ""g"", ""xícara"", ""xícara de chá"", ""colher de sopa"", ""colher de chá"", ""kg""]","{""100g"": 100, ""gramas"": 1, ""g"": 1, ""xícara"": 200, ""xícara de chá"": 200, ""colher de sopa"": 15, ""colher de chá"": 5, ""kg"": 1000}","{""calories"": 377.0, ""energy_kj"": 1576.0, ""protein"": 4.7, ""fat"": 0.7, ""carbs"": 88.8, ""fiber"": 2.1, ""moisture"": 4.3, ""ash"": 1.5, ""calcium"": 56.0, ""magnesium"": 8.0, ""manganese"": 0.13, ""phosphorus"": 43.0, ""iron"": 3.9, ""sodium"": 405.0, ""potassium"": 52.0, ""copper"": 0.04, ""zinc"": 8.5, ""re"": 31.0, ""rae"": 15.0, ""thiamine"": 0.73, ""riboflavin"": 1.11, ""pyridoxine"": 0.79, ""niacin"": 10.13, ""vitamin_c"": 14.6}",Cereais,#1food-moz.pdf,1,Entry 26 from source table
